0,Nucleoplasm,核质
1,Nuclear_membrane,核膜
2,Nucleoli,核仁
3,Nucleoli_fibrillar_center,核仁纤维中心
4,Nuclear_speckles,核斑
5,Nuclear_bodies,核体
6,Endoplasmic_reticulum,内质网
7,Golgi_apparatus,高尔基体
8,Peroxisomes,过氧化物酶体
9,Endosomes,囊泡
10,Lysosomes,溶酶体
11,Intermediate filaments,中间丝
12,Actin filaments,肌动蛋白微丝
13,Focal adhesion sites,焦着站
14,Microtubules,微管
15,Microtubule ends,微管末端
16,Cytokinetic bridge,细胞分裂桥 
17,Mitotic spindle,纺锤体
18,Microtubule organizing center,微管组织中心
19,Centrosome,中心体
20,Lipid_droplets,脂滴
21,Plasma membrane,细胞质膜
22,Cell junctions,细胞连接
23,Mitochondria,线粒体   
24,Aggresome,聚集体
25,Cytosol,细胞溶质
26,Cytoplasmic bodies,胞浆体  
27,Rods & rings,环